"Dist Code","Year","State Code","State Name","Dist Name","PRIMARY SECTOR CONSTANT PRICES (Millions in Rs)","PRIMARY SECTOR CURRENT PRICES (Millions in Rs)","PRIMARY SECTOR CONSTANT SHARES (Percent)","PRIMARY SECTOR CURRENT SHARES (Percent)","SECONDARY SECTOR CONSTANT PRICES (Millions in Rs)","SECONDARY SECTOR CURRENT PRICES (Millions in Rs)","SECONDARY SECTOR CONSTANT SHARES (Percent)","SECONDARY SECTOR CURRENT SHARES (Percent)","TERTIARY SECTOR CONSTANT PRICES (Millions in Rs)","TERTIARY SECTOR CURRENT PRICES (Millions in Rs)","TERTIARY SECTOR CONSTANT SHARES (Percent)","TERTIARY SECTOR CURRENT SHARES (Percent)","TOTAL CONSTANT PRICES (Millions in Rs)","TOTAL CURRENT PRICES (Millions in Rs)","PER CAPITA CURRENT PRICES (1000 in Rs)"
"36","2009 (2004)","6","Madhya Pradesh","Khandwa","6755","9996","29.65","32.1","5886","7878","25.83","25.3","10143","13269","44.52","42.61","22784","31143","25"
"36","2010 (2004)","6","Madhya Pradesh","Khandwa","6506","10721","27.06","29.99","6529","9329","27.16","26.09","11007","15704","45.78","43.92","24041","35754","28"
"36","2011 (2004)","6","Madhya Pradesh","Khandwa","7469","13289","28.87","31.93","6636","10124","25.65","24.33","11768","18206","45.48","43.75","25873","41618","32"
"36","2012 (2004)","6","Madhya Pradesh","Khandwa","8581","16863","30.45","34.14","6956","11159","24.69","22.6","12641","21365","44.86","43.26","28178","49387","37"
"36","2013 (2004)","6","Madhya Pradesh","Khandwa","10204","22726","32.85","38.0","7137","12459","22.98","20.83","13722","24619","44.17","41.17","31063","59804","44"
"37","2007 (2004)","6","Madhya Pradesh","Sehore","9852","11798","45.59","45.62","2684","3217","12.42","12.44","9075","10849","41.99","41.95","21612","25864","21"
"37","2008 (2004)","6","Madhya Pradesh","Sehore","10883","14577","45.55","46.57","3219","4167","13.47","13.31","9791","12557","40.98","40.12","23893","31300","25"
"37","2009 (2004)","6","Madhya Pradesh","Sehore","12259","18096","45.67","48.16","3472","4694","12.93","12.49","11112","14781","41.4","39.34","26843","37571","30"
"37","2010 (2004)","6","Madhya Pradesh","Sehore","10747","17680","40.23","43.13","3892","5689","14.57","13.88","12076","17624","45.2","42.99","26716","40993","32"
"37","2011 (2004)","6","Madhya Pradesh","Sehore","12531","22210","42.67","45.54","3847","6008","13.1","12.32","12991","20550","44.23","42.14","29369","48767","37"
"37","2012 (2004)","6","Madhya Pradesh","Sehore","14615","28669","44.57","47.88","4056","6773","12.37","11.31","14119","24436","43.06","40.81","32790","59877","45"
"37","2013 (2004)","6","Madhya Pradesh","Sehore","17660","39408","47.23","52.18","4179","7580","11.18","10.04","15549","28532","41.59","37.78","37388","75520","55"
"38","2007 (2004)","6","Madhya Pradesh","Raisen","5499","6591","27.7","27.68","5678","6774","28.6","28.45","8678","10447","43.71","43.87","19854","23811","19"
"38","2008 (2004)","6","Madhya Pradesh","Raisen","5650","7585","25.8","26.58","6860","8829","31.33","30.94","9389","12117","42.87","42.47","21899","28532","23"
"38","2009 (2004)","6","Madhya Pradesh","Raisen","7011","10382","28.25","30.32","7259","9695","29.25","28.31","10547","14168","42.5","41.37","24817","34245","27"
"38","2010 (2004)","6","Madhya Pradesh","Raisen","6830","11261","26.01","28.36","7944","11466","30.26","28.88","11482","16976","43.73","42.76","26256","39703","30"
"38","2011 (2004)","6","Madhya Pradesh","Raisen","7357","13122","27.29","29.74","7425","11455","27.54","25.96","12176","19549","45.17","44.3","26958","44126","33"
"38","2012 (2004)","6","Madhya Pradesh","Raisen","7922","15595","27.51","30.32","7752","12802","26.92","24.89","13125","23046","45.58","44.8","28798","51442","38"
"38","2013 (2004)","6","Madhya Pradesh","Raisen","8808","19572","28.37","32.55","7951","14009","25.61","23.3","14292","26555","46.03","44.16","31051","60136","44"
"39","2007 (2004)","6","Madhya Pradesh","Vidisha","6253","7491","31.18","31.19","4032","4841","20.1","20.16","9770","11683","48.72","48.65","20055","24015","18"
"39","2008 (2004)","6","Madhya Pradesh","Vidisha","6571","8803","29.73","30.54","4894","6401","22.15","22.21","10634","13619","48.12","47.25","22099","28822","21"
"39","2009 (2004)","6","Madhya Pradesh","Vidisha","6690","9879","27.62","29.57","5281","7202","21.8","21.56","12254","16324","50.58","48.87","24225","33405","24"
"39","2010 (2004)","6","Madhya Pradesh","Vidisha","5919","9739","23.47","25.65","5931","8716","23.52","22.95","13371","19519","53.02","51.4","25220","37974","27"
"39","2011 (2004)","6","Madhya Pradesh","Vidisha","6390","11347","23.19","25.4","6754","10555","24.51","23.63","14412","22771","52.3","50.97","27556","44672","31"
