"Dist Code","Year","State Code","State Name","Dist Name","PRIMARY SECTOR CONSTANT PRICES (Millions in Rs)","PRIMARY SECTOR CURRENT PRICES (Millions in Rs)","PRIMARY SECTOR CONSTANT SHARES (Percent)","PRIMARY SECTOR CURRENT SHARES (Percent)","SECONDARY SECTOR CONSTANT PRICES (Millions in Rs)","SECONDARY SECTOR CURRENT PRICES (Millions in Rs)","SECONDARY SECTOR CONSTANT SHARES (Percent)","SECONDARY SECTOR CURRENT SHARES (Percent)","TERTIARY SECTOR CONSTANT PRICES (Millions in Rs)","TERTIARY SECTOR CURRENT PRICES (Millions in Rs)","TERTIARY SECTOR CONSTANT SHARES (Percent)","TERTIARY SECTOR CURRENT SHARES (Percent)","TOTAL CONSTANT PRICES (Millions in Rs)","TOTAL CURRENT PRICES (Millions in Rs)","PER CAPITA CURRENT PRICES (1000 in Rs)"
"230","2008 (2004)","12","Uttar Pradesh","Kheri","13659","20018","29.14","32.96","9528","11648","20.33","19.18","23681","29073","50.53","47.87","46869","60739","16"
"230","2009 (2004)","12","Uttar Pradesh","Kheri","13603","22795","27.91","32.68","9660","12713","19.82","18.23","25480","34243","52.27","49.09","48743","69751","18"
"230","2010 (2004)","12","Uttar Pradesh","Kheri","12864","23477","24.83","29.92","9715","13503","18.75","17.21","29225","41499","56.41","52.88","51804","78479","20"
"230","2011 (2004)","12","Uttar Pradesh","Kheri","13223","27466","23.92","30.92","10514","15012","19.02","16.9","31534","46337","57.05","52.17","55271","88815","22"
"230","2012 (2004)","12","Uttar Pradesh","Kheri","13550","30828","23.57","31.16","10166","15699","17.69","15.87","33767","52408","58.74","52.97","57483","98935","24"
"230","2013 (2004)","12","Uttar Pradesh","Kheri","13750","36185","23.07","32.06","9951","16238","16.7","14.39","35889","60432","60.23","53.55","59590","112855","27"
"231","2007 (2004)","12","Uttar Pradesh","Faizabad","10301","12664","29.1","29.87","8414","10179","23.77","24.0","16683","19562","47.13","46.13","35398","42404","18"
"231","2008 (2004)","12","Uttar Pradesh","Faizabad","9029","13290","24.91","28.22","9017","11494","24.87","24.4","18203","22318","50.22","47.38","36250","47102","20"
"231","2009 (2004)","12","Uttar Pradesh","Faizabad","7895","13291","21.54","25.37","9516","13274","25.97","25.33","19237","25831","52.49","49.3","36648","52397","22"
"231","2010 (2004)","12","Uttar Pradesh","Faizabad","9368","17162","23.63","28.2","10029","14836","25.3","24.38","20243","28860","51.07","47.42","39640","60857","25"
"231","2011 (2004)","12","Uttar Pradesh","Faizabad","10059","21013","24.19","30.89","10430","15846","25.09","23.29","21089","31170","50.72","45.82","41578","68029","28"
"231","2012 (2004)","12","Uttar Pradesh","Faizabad","10769","24721","24.98","32.54","10168","16658","23.58","21.93","22177","34592","51.44","45.53","43114","75972","30"
"231","2013 (2004)","12","Uttar Pradesh","Faizabad","11383","29852","25.57","34.47","10274","17946","23.08","20.72","22863","38807","51.35","44.81","44520","86605","34"
"232","2007 (2004)","12","Uttar Pradesh","Gonda","13039","16061","36.21","37.18","6480","7831","18.0","18.13","16488","19309","45.79","44.7","36007","43201","14"
"232","2008 (2004)","12","Uttar Pradesh","Gonda","14020","20673","35.52","39.81","6754","8464","17.11","16.3","18695","22788","47.37","43.89","39469","51926","16"
"232","2009 (2004)","12","Uttar Pradesh","Gonda","14453","24478","34.07","39.46","7166","9813","16.89","15.82","20805","27745","49.04","44.72","42424","62036","19"
"232","2010 (2004)","12","Uttar Pradesh","Gonda","12543","23004","28.17","33.52","7817","11359","17.56","16.55","24160","34257","54.27","49.92","44520","68621","20"
"232","2011 (2004)","12","Uttar Pradesh","Gonda","12808","26729","27.04","34.4","8053","11909","17.0","15.32","26503","39072","55.96","50.28","47364","77710","23"
"232","2012 (2004)","12","Uttar Pradesh","Gonda","13032","29847","25.52","33.33","8331","13342","16.32","14.9","29699","46369","58.16","51.78","51062","89558","26"
"232","2013 (2004)","12","Uttar Pradesh","Gonda","13087","34420","24.28","33.08","8273","14083","15.35","13.53","32548","55564","60.38","53.39","53908","104066","29"
"233","2007 (2004)","12","Uttar Pradesh","Bahraich","11554","14236","37.44","38.21","5504","6677","17.84","17.92","13799","16349","44.72","43.88","30857","37262","12"
"233","2008 (2004)","12","Uttar Pradesh","Bahraich","12110","17694","35.85","39.66","5731","7254","16.97","16.26","15937","19660","47.18","44.07","33779","44609","14"
"233","2009 (2004)","12","Uttar Pradesh","Bahraich","7697","12604","24.27","27.93","6299","8675","19.86","19.22","17721","23854","55.87","52.85","31717","45133","14"
"233","2010 (2004)","12","Uttar Pradesh","Bahraich","6902","12353","19.87","23.52","6832","10047","19.67","19.13","21002","30122","60.46","57.35","34736","52521","16"
"233","2011 (2004)","12","Uttar Pradesh","Bahraich","7077","14511","18.58","23.85","7553","11286","19.82","18.55","23469","35048","61.6","57.6","38099","60844","17"
"233","2012 (2004)","12","Uttar Pradesh","Bahraich","7239","16168","17.38","22.84","7614","12334","18.28","17.42","26798","42297","64.34","59.74","41651","70800","20"
"233","2013 (2004)","12","Uttar Pradesh","Bahraich","7402","19371","16.62","23.21","7776","13335","17.46","15.98","29366","50754","65.93","60.81","44544","83460","22"
"234","2007 (2004)","12","Uttar Pradesh","Sultanpur","12647","15626","30.12","31.07","7892","9586","18.79","19.06","21455","25075","51.09","49.86","41994","50288","14"
"234","2008 (2004)","12","Uttar Pradesh","Sultanpur","13176","19420","28.84","32.64","8398","10646","18.38","17.89","24114","29432","52.78","49.47","45688","59498","16"
"234","2009 (2004)","12","Uttar Pradesh","Sultanpur","17096","29030","32.34","37.51","8951","12419","16.93","16.04","26819","35953","50.73","46.45","52865","77402","21"
"234","2010 (2004)","12","Uttar Pradesh","Sultanpur","18416","33890","31.3","36.8","9862","14607","16.76","15.86","30560","43585","51.94","47.33","58837","92082","25"
"234","2011 (2004)","12","Uttar Pradesh","Sultanpur","18481","38685","29.44","37.02","11036","16639","17.58","15.92","33261","49182","52.98","47.06","62778","104507","28"
"234","2012 (2004)","12","Uttar Pradesh","Sultanpur","18484","42509","27.82","35.91","11090","18117","16.69","15.3","36870","57759","55.49","48.79","66444","118384","31"
"234","2013 (2004)","12","Uttar Pradesh","Sultanpur","18218","47920","26.22","35.25","11388","19784","16.39","14.55","39872","68254","57.39","50.2","69477","135957","35"
"235","2007 (2004)","12","Uttar Pradesh","Pratapgarh","8513","10577","27.13","28.13","3715","4577","11.84","12.17","19147","22446","61.02","59.7","31376","37600","12"
"235","2008 (2004)","12","Uttar Pradesh","Pratapgarh","8723","12825","25.77","29.42","3944","4984","11.65","11.43","21180","25791","62.58","59.15","33847","43600","14"
"235","2009 (2004)","12","Uttar Pradesh","Pratapgarh","7948","13350","22.53","26.67","4105","5722","11.64","11.43","23222","30982","65.83","61.9","35274","50054","16"
"235","2010 (2004)","12","Uttar Pradesh","Pratapgarh","8147","14973","20.8","25.27","4425","6598","11.3","11.13","26591","37693","67.9","63.6","39162","59263","19"
"235","2011 (2004)","12","Uttar Pradesh","Pratapgarh","8130","16905","19.43","25.43","4781","7099","11.43","10.68","28935","42475","69.15","63.89","41846","66479","21"
"235","2012 (2004)","12","Uttar Pradesh","Pratapgarh","8083","18401","17.95","24.18","4853","7864","10.78","10.33","32101","49844","71.28","65.49","45037","76109","23"
"235","2013 (2004)","12","Uttar Pradesh","Pratapgarh","7926","21021","16.61","23.71","5010","8630","10.5","9.73","34780","59004","72.89","66.55","47715","88655","27"
"236","2007 (2004)","12","Uttar Pradesh","Barabanki","13853","17060","37.23","38.19","6450","7769","17.33","17.39","16909","19842","45.44","44.42","37212","44671","15"
"236","2008 (2004)","12","Uttar Pradesh","Barabanki","14455","21341","36.32","40.62","6590","8311","16.56","15.82","18752","22889","47.12","43.56","39797","52541","17"
"236","2009 (2004)","12","Uttar Pradesh","Barabanki","11345","19157","28.77","33.67","7102","9687","18.01","17.02","20990","28055","53.23","49.31","39436","56900","18"
"236","2010 (2004)","12","Uttar Pradesh","Barabanki","12609","23166","28.72","34.28","7670","11150","17.47","16.5","23625","33266","53.81","49.22","43904","67582","21"
"236","2011 (2004)","12","Uttar Pradesh","Barabanki","12716","26547","27.43","35.03","8120","12108","17.51","15.98","25527","37123","55.06","48.99","46363","75778","23"
"236","2012 (2004)","12","Uttar Pradesh","Barabanki","12781","29273","26.33","34.5","8085","13045","16.66","15.37","27677","42535","57.02","50.13","48542","84852","26"
"236","2013 (2004)","12","Uttar Pradesh","Barabanki","12669","33389","25.03","34.41","8221","14057","16.24","14.49","29718","49582","58.72","51.1","50608","97029","29"
"237","2007 (2004)","16","Uttarakhand","Nainital","5036","6303","14.11","14.51","13018","16649","36.48","38.34","17628","20477","49.4","47.15","35682","43429","50"
"237","2008 (2004)","16","Uttarakhand","Nainital","4799","7178","12.18","13.9","14183","18947","35.99","36.69","20430","25510","51.84","49.4","39412","51635","58"
"237","2009 (2004)","16","Uttarakhand","Nainital","5381","8863","11.69","13.62","16635","23943","36.14","36.8","24017","32261","52.17","49.58","46032","65068","71"
"237","2010 (2004)","16","Uttarakhand","Nainital","5162","9631","10.16","12.51","19116","29204","37.62","37.92","26541","38179","52.23","49.57","50819","77014","83"
"237","2011 (2004)","16","Uttarakhand","Nainital","5255","11001","9.51","12.32","20894","33673","37.82","37.7","29103","44638","52.67","49.98","55252","89312","94"
"237","2012 (2004)","16","Uttarakhand","Nainital","5473","12588","9.14","12.15","23135","39782","38.62","38.39","31291","51260","52.24","49.46","59900","103630","106"
"237","2013 (2004)","16","Uttarakhand","Nainital","5673","13977","8.66","11.63","26031","46884","39.72","39.02","33828","59295","51.62","49.35","65532","120155","120"
"238","2007 (2004)","16","Uttarakhand","Almorah","3125","3904","21.02","21.58","3605","4786","24.25","26.46","8136","9399","54.73","51.96","14865","18089","29"
"238","2008 (2004)","16","Uttarakhand","Almorah","3015","4513","18.55","20.88","3714","5289","22.85","24.47","9524","11809","58.6","54.64","16253","21611","35"
"238","2009 (2004)","16","Uttarakhand","Almorah","3099","5105","16.57","19.14","4257","6615","22.77","24.8","11343","14951","60.66","56.06","18698","26671","43"
"238","2010 (2004)","16","Uttarakhand","Almorah","3728","6937","17.85","21.42","4876","8213","23.35","25.36","12277","17232","58.8","53.21","20880","32382","52"
"238","2011 (2004)","16","Uttarakhand","Almorah","3872","8053","17.42","21.94","5256","9085","23.65","24.76","13098","19560","58.93","53.3","22226","36697","59"
"238","2012 (2004)","16","Uttarakhand","Almorah","4110","9374","16.95","21.75","6129","11429","25.28","26.52","14008","22290","57.77","51.73","24247","43092","69"
"238","2013 (2004)","16","Uttarakhand","Almorah","4328","10572","16.38","21.24","7043","13625","26.66","27.37","15044","25578","56.95","51.39","26415","49775","80"
"239","2007 (2004)","16","Uttarakhand","Pithorgarh","3260","4081","22.48","22.94","2772","3805","19.12","21.39","8466","9902","58.39","55.67","14499","17787","37"
"239","2008 (2004)","16","Uttarakhand","Pithorgarh","3170","4744","20.13","22.41","2753","4074","17.48","19.25","9829","12351","62.4","58.35","15751","21168","44"
"239","2009 (2004)","16","Uttarakhand","Pithorgarh","3035","5002","16.71","19.01","3347","5485","18.43","20.84","11783","15828","64.87","60.15","18165","26315","55"
"239","2010 (2004)","16","Uttarakhand","Pithorgarh","3268","6103","16.73","19.85","3750","6684","19.2","21.74","12513","17958","64.07","58.41","19531","30745","64"
"239","2011 (2004)","16","Uttarakhand","Pithorgarh","3393","7116","16.11","20.19","4353","7770","20.67","22.05","13313","20353","63.22","57.76","21058","35239","73"
"239","2012 (2004)","16","Uttarakhand","Pithorgarh","3599","8298","15.92","20.35","4927","9543","21.79","23.4","14086","22941","62.29","56.25","22612","40781","84"
"239","2013 (2004)","16","Uttarakhand","Pithorgarh","3793","9358","15.39","19.89","5858","11609","23.78","24.67","14988","26083","60.83","55.44","24639","47049","96"
"240","2007 (2004)","16","Uttarakhand","Chamoli","2631","3351","16.64","16.11","3566","6125","22.56","29.45","9613","11322","60.81","54.44","15809","20798","54"
"240","2008 (2004)","16","Uttarakhand","Chamoli","2607","3887","14.56","15.38","3829","6866","21.39","27.17","11466","14517","64.05","57.45","17902","25269","66"
"240","2009 (2004)","16","Uttarakhand","Chamoli","3076","5073","14.64","16.28","4020","7278","19.14","23.35","13912","18811","66.22","60.36","21008","31163","80"
"240","2010 (2004)","16","Uttarakhand","Chamoli","3351","6274","14.6","16.81","4621","9309","20.14","24.94","14975","21744","65.26","58.25","22948","37327","96"
"240","2011 (2004)","16","Uttarakhand","Chamoli","3490","7358","14.07","17.29","5140","10195","20.72","23.95","16172","25016","65.2","58.77","24802","42568","109"
"240","2012 (2004)","16","Uttarakhand","Chamoli","3715","8620","13.88","17.38","5585","12188","20.87","24.58","17467","28780","65.26","58.04","26767","49588","126"
"240","2013 (2004)","16","Uttarakhand","Chamoli","3930","9756","13.4","16.93","6430","14449","21.92","25.07","18977","33431","64.69","58.0","29337","57636","146"
"241","2007 (2004)","16","Uttarakhand","Uttar Kashi","2765","3521","28.39","29.56","515","829","5.29","6.96","6461","7561","66.33","63.48","9741","11911","38"
"241","2008 (2004)","16","Uttarakhand","Uttar Kashi","2746","4096","25.26","28.18","472","835","4.34","5.75","7654","9603","70.4","66.08","10872","14533","46"
"241","2009 (2004)","16","Uttarakhand","Uttar Kashi","2998","4946","23.11","26.8","521","1043","4.02","5.65","9452","12466","72.87","67.55","12971","18455","57"
"241","2010 (2004)","16","Uttarakhand","Uttar Kashi","3278","6146","23.25","28.07","518","1241","3.67","5.67","10304","14511","73.08","66.27","14100","21897","67"
"241","2011 (2004)","16","Uttarakhand","Uttar Kashi","3280","6957","21.79","27.69","531","1281","3.53","5.1","11238","16888","74.67","67.22","15050","25125","76"
"241","2012 (2004)","16","Uttarakhand","Uttar Kashi","3365","7893","20.97","27.39","548","1539","3.41","5.34","12133","19380","75.61","67.26","16047","28812","86"
"241","2013 (2004)","16","Uttarakhand","Uttar Kashi","3440","8647","19.97","26.34","577","1708","3.35","5.2","13211","22474","76.68","68.46","17228","32829","97"
"242","2007 (2004)","16","Uttarakhand","Tehri Garhwal","2943","3711","18.21","18.78","4352","5749","26.92","29.1","8868","10298","54.86","52.12","16164","19759","32"
"242","2008 (2004)","16","Uttarakhand","Tehri Garhwal","2866","4283","16.11","18.13","4495","6356","25.27","26.9","10427","12986","58.61","54.97","17789","23625","38"
"242","2009 (2004)","16","Uttarakhand","Tehri Garhwal","2559","4222","12.4","14.43","5238","8039","25.38","27.48","12840","16990","62.22","58.09","20637","29250","47"
"242","2010 (2004)","16","Uttarakhand","Tehri Garhwal","3020","5655","13.0","15.89","5885","9764","25.34","27.43","14320","20175","61.66","56.68","23224","35594","58"
"242","2011 (2004)","16","Uttarakhand","Tehri Garhwal","3143","6631","12.57","16.3","5955","10104","23.82","24.84","15905","23946","63.61","58.86","25002","40681","66"
"242","2012 (2004)","16","Uttarakhand","Tehri Garhwal","3343","7766","12.21","16.22","6567","12116","23.99","25.3","17459","28009","63.79","58.48","27369","47891","77"
"242","2013 (2004)","16","Uttarakhand","Tehri Garhwal","3528","8767","11.71","15.7","7374","14167","24.47","25.37","19229","32911","63.82","58.93","30132","55845","90"
"243","2007 (2004)","16","Uttarakhand","Garhwal","3720","4725","20.46","21.25","4281","5808","23.55","26.12","10178","11704","55.99","52.64","18179","22236","32"
"243","2008 (2004)","16","Uttarakhand","Garhwal","3602","5373","17.86","20.08","4583","6612","22.72","24.71","11987","14778","59.42","55.22","20172","26762","39"
"243","2009 (2004)","16","Uttarakhand","Garhwal","3308","5462","14.2","16.67","5368","8282","23.05","25.28","14613","19013","62.74","58.04","23290","32757","48"
"243","2010 (2004)","16","Uttarakhand","Garhwal","3914","7346","14.88","18.32","6126","10277","23.28","25.63","16272","22480","61.84","56.05","26311","40104","58"
"243","2011 (2004)","16","Uttarakhand","Garhwal","4027","8546","13.82","18.09","7279","12399","24.97","26.24","17842","26302","61.21","55.67","29148","47247","69"
"243","2012 (2004)","16","Uttarakhand","Garhwal","4237","9920","13.28","17.86","8354","15349","26.19","27.64","19309","30269","60.53","54.5","31900","55538","81"
"243","2013 (2004)","16","Uttarakhand","Garhwal","4428","11088","12.73","17.3","9353","17929","26.9","27.97","20993","35085","60.37","54.73","34775","64101","93"
"244","2007 (2004)","16","Uttarakhand","Dehradun","4156","5222","4.68","4.94","27451","34926","30.93","33.02","57152","65631","64.39","62.05","88759","105778","70"
"244","2008 (2004)","16","Uttarakhand","Dehradun","3958","5913","3.92","4.6","30057","40213","29.79","31.27","66889","82460","66.29","64.13","100903","128586","82"
"244","2009 (2004)","16","Uttarakhand","Dehradun","4035","6651","3.45","4.14","35581","50606","30.46","31.47","77197","103574","66.09","64.4","116813","160832","100"
"244","2010 (2004)","16","Uttarakhand","Dehradun","4202","7852","3.41","4.26","39845","60454","32.3","32.83","79315","115812","64.3","62.9","123361","184118","112"
"244","2011 (2004)","16","Uttarakhand","Dehradun","4145","8712","3.14","4.18","43958","70049","33.3","33.58","83889","129864","63.56","62.25","131992","208626","123"
"244","2012 (2004)","16","Uttarakhand","Dehradun","4166","9630","2.95","4.04","47983","81777","33.99","34.34","89006","146718","63.06","61.61","141155","238125","136"
"244","2013 (2004)","16","Uttarakhand","Dehradun","4166","10314","2.72","3.77","53581","95653","35.05","34.92","95138","167932","62.23","61.31","152884","273899","153"
"501","2007 (2004)","14","Chhattisgarh","Rajnandgaon","8071","10448","24.33","25.22","13296","16452","40.08","39.71","11810","14534","35.6","35.08","33176","41433","29"
"501","2008 (2004)","14","Chhattisgarh","Rajnandgaon","7033","10390","19.92","21.13","15200","21010","43.06","42.73","13067","17774","37.02","36.15","35300","49174","34"
"501","2009 (2004)","14","Chhattisgarh","Rajnandgaon","8030","12672","21.69","23.96","14734","20014","39.79","37.85","14266","20196","38.53","38.19","37030","52881","36"
"501","2010 (2004)","14","Chhattisgarh","Rajnandgaon","8517","14384","21.32","23.39","15088","22117","37.77","35.97","16339","24987","40.9","40.64","39944","61487","41"
"501","2011 (2004)","14","Chhattisgarh","Rajnandgaon","8630","15749","23.6","25.34","11089","17724","30.33","28.52","16844","28682","46.07","46.15","36563","62155","40"
"501","2012 (2004)","14","Chhattisgarh","Rajnandgaon","9287","18654","23.56","25.69","11926","20249","30.26","27.89","18204","33706","46.18","46.42","39417","72610","46"
"501","2013 (2004)","14","Chhattisgarh","Rajnandgaon","9463","19982","22.53","24.05","12739","23097","30.32","27.8","19808","40016","47.15","48.16","42010","83095","52"
"502","2007 (2004)","6","Madhya Pradesh","Bhopal","3717","4451","3.75","3.86","34439","40735","34.75","35.33","60936","70104","61.49","60.81","99092","115290","54"
"502","2008 (2004)","6","Madhya Pradesh","Bhopal","4075","5461","3.57","3.84","40717","51573","35.62","36.29","69513","85080","60.81","59.87","114304","142114","65"
"502","2009 (2004)","6","Madhya Pradesh","Bhopal","4672","6904","3.79","4.35","42728","55905","34.65","35.2","75931","96005","61.57","60.45","123330","158814","70"
"502","2010 (2004)","6","Madhya Pradesh","Bhopal","4084","6726","3.06","3.63","44594","62617","33.43","33.81","84697","115867","63.5","62.56","133376","185210","80"
"502","2011 (2004)","6","Madhya Pradesh","Bhopal","4696","8341","3.21","3.85","46495","70374","31.74","32.44","95293","138190","65.05","63.71","146483","216905","91"
"502","2012 (2004)","6","Madhya Pradesh","Bhopal","5397","10600","3.38","4.19","48058","78044","30.11","30.87","106162","164160","66.51","64.94","159618","252803","104"
"502","2013 (2004)","6","Madhya Pradesh","Bhopal","6416","14298","3.69","4.9","49343","84768","28.41","29.04","117909","192855","67.89","66.06","173667","291921","117"
"503","2007 (2004)","1","Andhra Pradesh","Vizianagaram","18537","22280","26.26","26.33","13914","17773","19.71","21.01","38136","44552","54.03","52.66","70587","84604","37"
"503","2008 (2004)","1","Andhra Pradesh","Vizianagaram","18307","24912","24.45","25.29","14585","20721","19.48","21.04","41999","52863","56.08","53.67","74890","98496","43"
"503","2009 (2004)","1","Andhra Pradesh","Vizianagaram","18061","27470","25.13","26.8","14039","21010","19.54","20.5","39766","54028","55.33","52.71","71865","102508","44"
"503","2010 (2004)","1","Andhra Pradesh","Vizianagaram","20530","36770","24.95","28.19","15436","25519","18.76","19.56","46333","68158","56.3","52.25","82299","130447","56"
"503","2011 (2004)","1","Andhra Pradesh","Vizianagaram","23869","45061","26.29","29.32","16837","29679","18.54","19.31","50090","78927","55.17","51.36","90795","153666","66"
"503","2012 (2004)","1","Andhra Pradesh","Vizianagaram","29393","61825","29.44","33.29","17006","32388","17.03","17.44","53445","91526","53.53","49.28","99844","185740","79"
"503","2013 (2004)","1","Andhra Pradesh","Vizianagaram","35943","82704","32.63","36.81","17125","34443","15.55","15.33","57090","107512","51.83","47.86","110159","224659","95"
"504","2007 (2004)","1","Andhra Pradesh","Prakasam","37456","45150","34.79","34.81","22265","29017","20.68","22.37","47952","55546","44.53","42.82","107673","129713","40"
"504","2008 (2004)","1","Andhra Pradesh","Prakasam","37569","51440","33.35","34.36","23251","33969","20.64","22.69","51833","64288","46.01","42.95","112653","149696","46"
"504","2009 (2004)","1","Andhra Pradesh","Prakasam","42835","66185","34.66","37.16","24136","37357","19.53","20.98","56629","74545","45.82","41.86","123600","178088","54"
"504","2010 (2004)","1","Andhra Pradesh","Prakasam","33822","59952","26.8","30.28","26045","44971","20.64","22.72","66322","93041","52.56","47.0","126188","197964","59"
"504","2011 (2004)","1","Andhra Pradesh","Prakasam","33571","61630","25.04","27.84","28922","52830","21.57","23.86","71595","106936","53.39","48.3","134088","221396","65"
"504","2012 (2004)","1","Andhra Pradesh","Prakasam","35171","70443","24.8","27.78","29814","58693","21.03","23.14","76817","124477","54.17","49.08","141802","253613","74"
"504","2013 (2004)","1","Andhra Pradesh","Prakasam","36547","78356","24.73","27.65","30023","62612","20.31","22.09","81231","142445","54.96","50.26","147800","283412","82"
"506","2007 (2004)","11","Tamil Nadu","Dharmapuri","6581","9289","22.85","27.09","6948","8256","24.13","24.08","15271","16741","53.02","48.83","28800","34286","24"
"506","2008 (2004)","11","Tamil Nadu","Dharmapuri","7360","12064","24.12","30.22","6402","8326","20.98","20.86","16755","19532","54.91","48.93","30516","39922","28"
"506","2009 (2004)","11","Tamil Nadu","Dharmapuri","9263","19027","26.45","36.77","7645","10410","21.83","20.12","18113","22303","51.72","43.11","35021","51740","35"
"506","2010 (2004)","11","Tamil Nadu","Dharmapuri","9381","22776","24.19","36.75","9279","13649","23.93","22.02","20116","25555","51.88","41.23","38776","61980","42"
"506","2011 (2004)","11","Tamil Nadu","Dharmapuri","10877","26592","24.83","36.29","11448","18130","26.13","24.74","21487","28560","49.04","38.97","43811","73283","49"
"506","2012 (2004)","11","Tamil Nadu","Dharmapuri","10168","26329","22.3","32.55","13208","22757","28.97","28.14","22212","31797","48.72","39.31","45587","80883","53"
"506","2013 (2004)","11","Tamil Nadu","Dharmapuri","11574","33747","24.19","36.09","13077","23917","27.33","25.58","23189","35843","48.47","38.33","47840","93507","60"
"507","2007 (2004)","11","Tamil Nadu","Periyar(Erode)","13169","18441","15.73","18.74","24788","28936","29.61","29.4","45769","51034","54.67","51.86","83726","98411","46"
"507","2008 (2004)","11","Tamil Nadu","Periyar(Erode)","13094","21220","15.25","19.32","23423","29445","27.29","26.81","49328","59160","57.46","53.87","85845","109826","51"
"507","2009 (2004)","11","Tamil Nadu","Periyar(Erode)","13604","27832","14.42","21.16","28018","36360","29.7","27.65","52719","67315","55.88","51.19","94341","131506","60"
"507","2010 (2004)","11","Tamil Nadu","Periyar(Erode)","13713","33040","13.26","21.28","31792","44095","30.74","28.4","57905","78145","56.0","50.33","103410","155280","70"
"507","2011 (2004)","11","Tamil Nadu","Periyar(Erode)","15275","37059","12.75","19.78","39215","58390","32.73","31.16","65322","91921","54.52","49.06","119812","187370","83"
"507","2012 (2004)","11","Tamil Nadu","Periyar(Erode)","13660","35084","11.2","17.23","41097","65748","33.71","32.28","67168","102845","55.09","50.49","121925","203677","89"
"507","2013 (2004)","11","Tamil Nadu","Periyar(Erode)","14936","43314","11.66","18.76","41768","69592","32.61","30.13","71378","118030","55.73","51.11","128082","230936","100"
"508","2007 (2004)","11","Tamil Nadu","Pudukkottai","10119","14129","26.37","30.62","7234","8624","18.85","18.69","21016","23386","54.77","50.69","38369","46139","30"
"508","2008 (2004)","11","Tamil Nadu","Pudukkottai","9640","15619","24.84","30.5","7036","9163","18.13","17.89","22137","26437","57.04","51.62","38813","51218","33"
"508","2009 (2004)","11","Tamil Nadu","Pudukkottai","9989","20319","24.42","33.79","7752","10558","18.95","17.56","23167","29254","56.63","48.65","40907","60131","38"
"508","2010 (2004)","11","Tamil Nadu","Pudukkottai","12697","30256","27.17","39.43","9214","13545","19.71","17.65","24828","32928","53.12","42.91","46739","76729","48"
"508","2011 (2004)","11","Tamil Nadu","Pudukkottai","15062","36173","29.15","40.51","10564","16731","20.45","18.73","26038","36400","50.4","40.76","51663","89304","55"
"508","2012 (2004)","11","Tamil Nadu","Pudukkottai","14453","36683","27.44","37.88","11707","20103","22.22","20.76","26517","40051","50.34","41.36","52677","96836","59"
"508","2013 (2004)","11","Tamil Nadu","Pudukkottai","16828","48200","29.59","41.62","11805","21532","20.76","18.59","28244","46064","49.66","39.78","56877","115796","70"
"509","2007 (2004)","11","Tamil Nadu","Dindigul Anna","12164","17119","15.05","17.97","25553","29913","31.62","31.4","43095","48223","53.33","50.63","80813","95255","46"
"509","2008 (2004)","11","Tamil Nadu","Dindigul Anna","13378","21817","16.23","20.5","24931","31442","30.24","29.55","44137","53156","53.54","49.95","82445","106414","51"
"509","2009 (2004)","11","Tamil Nadu","Dindigul Anna","10701","22086","12.17","18.15","30622","39921","34.82","32.8","46633","59688","53.02","49.05","87956","121695","58"
"509","2010 (2004)","11","Tamil Nadu","Dindigul Anna","9589","23527","10.2","16.93","35159","49076","37.41","35.32","49225","66358","52.38","47.75","93973","138961","65"
"509","2011 (2004)","11","Tamil Nadu","Dindigul Anna","11162","27558","11.37","17.83","36975","55901","37.67","36.18","50023","71069","50.96","45.99","98160","154527","72"
"509","2012 (2004)","11","Tamil Nadu","Dindigul Anna","10517","27498","10.55","16.37","39130","63597","39.25","37.87","50050","76858","50.2","45.76","99696","167954","77"
"509","2013 (2004)","11","Tamil Nadu","Dindigul Anna","12033","35324","11.61","18.74","39857","67878","38.46","36.0","51735","85322","49.93","45.26","103625","188525","85"
"510","2007 (2004)","11","Tamil Nadu","Virudhunagar Kamarajar","6851","9864","9.01","11.11","33032","38763","43.45","43.68","36144","40120","47.54","45.21","76027","88748","48"
"510","2008 (2004)","11","Tamil Nadu","Virudhunagar Kamarajar","6701","11462","8.74","11.75","32405","41140","42.25","42.18","37597","44928","49.02","46.07","76703","97531","52"
"510","2009 (2004)","11","Tamil Nadu","Virudhunagar Kamarajar","5425","11475","6.5","10.21","38598","50710","46.26","45.14","39412","50161","47.24","44.65","83435","112346","59"
"510","2010 (2004)","11","Tamil Nadu","Virudhunagar Kamarajar","5579","14247","6.11","10.76","44179","62332","48.39","47.06","41548","55873","45.5","42.18","91306","132451","69"
"510","2011 (2004)","11","Tamil Nadu","Virudhunagar Kamarajar","5991","15414","6.23","10.43","47393","71692","49.3","48.51","42744","60668","44.47","41.05","96127","147775","76"
"510","2012 (2004)","11","Tamil Nadu","Virudhunagar Kamarajar","5366","14604","5.53","9.15","48488","78670","50.0","49.28","43127","66374","44.47","41.58","96981","159648","81"
"510","2013 (2004)","11","Tamil Nadu","Virudhunagar Kamarajar","5673","17031","5.71","9.77","49137","83589","49.46","47.98","44528","73613","44.83","42.25","99337","174233","88"
"512","2007 (2004)","11","Tamil Nadu","Sivagangai Pasumpon","4180","5979","10.81","13.26","9849","11770","25.46","26.1","24650","27345","63.73","60.64","38679","45094","36"
