DIST,YEAR,FEMALE_age_ 6YRS_ATTEND_SCHOOL,CHILDREN_below_5YRS_birth REGISTERED,HOUSEHOLD_USING_IODIZED_SALT,HOUSEHOLD_COVERED_ANY_HEALTH_SCHEME,WOMEN_10YRS_OR_MORE_SCHOOLING,MOTHER_ANTENATAL_CHECKUP,PREGNANT_TIME_CONSUMED_FOLIC_ACID,MOTHER_ANTENATAL_FULLCARE,CHILDREN_UNDER_5_YRS_STUNTED,CHILDREN_UNDER_5_YRS_WASTING,CHILDREN_UNDER_5_YRS_SEVERELY_WASTING,CHILDREN_UNDER_5_YRS_UNDER_WEIGHT,WOMEN_BMI_BELOW_NORMAL,MEN_BMI_BELOW_NORMAL,WOMEN_BMI_OVERWEIGHT,MEN_BMI_OVERWEIGHT,CHILDREN_ANAEMIC_6_59_MONTHS,WOMEN_ANAEMIC_15_49_YEARS,WOMEN_HIGH_BLOOD_SUGAR,MEN_HIGH_BLOOD_SUGAR,WOMEN_MODERATELY_HYPERTENSION,MEN_MODERATELY_HYPERTENSION
229,2015,57.8,52.1,84.4,9.1,18.8,20.8,13.6,1.1,52.9,16.2,5.1,42.1,32.6,33.5,9.2,2.2,43.4,33.6,3.6,6.1,0.9,1.5
183,2015,75.6,99.3,93.7,4.4,54.5,74.9,48.9,40.5,24.5,26.2,8.9,29.9,13.5,16.7,13.3,7.1,66.2,70,3.6,5.7,1.5,0
81,2015,79.3,95.7,87.6,28,44.1,74,33.7,31,42.1,19.9,4.1,35.8,36.1,39.3,15.7,5,51.8,42.8,5.8,9.9,2.6,5
543,2015,67.3,100,86.6,83.7,40.4,58.8,62.2,46.8,31.4,17.9,3.5,29.7,19.8,17.7,23,33.4,57.5,63.7,5.5,13.4,0.8,4
140,2015,58.5,54.1,94.3,9.3,24.5,49.9,11.4,2.9,43.7,19.3,9.2,37.3,27.6,15.1,10.9,18.1,54.2,41.9,2.4,8.4,0.9,0.9
207,2015,70.1,64.9,93,13.2,34.2,58,7.7,2,53.9,12.1,2.1,32.9,23.4,21,15.7,8.1,39.1,26.6,3.6,5.5,0.5,1.7
520,2015,79.6,87,100,53.4,61.6,89.5,51.6,39.8,22.8,12.4,1.9,21.2,17.3,15.2,37.1,28.3,42.8,52.5,9.1,4.8,1.6,4.6
66,2015,65.5,97.4,82.5,36.9,44.1,53,56.4,32.1,30.8,22.3,11.4,25.1,21.8,17.2,17.3,16.8,56,53.7,5.6,6.6,1.1,5
1070,2015,66.4,86.7,99.6,81.1,23.8,83.3,37.7,27.4,36.9,31.8,10.3,51.5,37.9,32.7,7.1,10.7,60.5,67.7,6.3,12.7,1.6,2.5
632,2015,65.7,95.1,99.7,21.3,51.9,71.4,46,29.7,23,20.8,7.3,16.1,9.6,8.2,23.4,19.4,94.7,83.2,2.7,1.9,1.4,6.2
59,2015,51.8,83.4,88.1,80.4,30.9,77.6,33.2,28.1,30.6,24.9,6.7,36.1,27.8,20.5,21.5,19.2,70.8,54.7,6.2,3.3,0.9,3.6
1033,2015,63.8,72.7,97.7,5.7,39.3,66,26,17.7,38.6,16.7,4.3,37.5,22.7,13.4,23.1,12.1,77.6,65.3,7.2,10,0.8,0.7
84,2015,74,97.7,69.7,77.3,42.9,56.5,62.7,47.2,26.8,19.9,5.3,25.2,22.8,14.4,23.6,19.3,48.3,59,3.9,10.1,0.6,2.5
