Key,Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
2201614,2,2016,14,Chhattisgarh,Bastar,-1,1331,-1,2550,-1,1260,-1,-1,5750,6363,-1,11183,6000,-1,-1,4667,-1
3199014,3,1990,14,Chhattisgarh,Raipur,356,207,320,-1,-1,-1,-1,-1,552,885,843,1154,-1,-1,1005,-1,-1
3199114,3,1991,14,Chhattisgarh,Raipur,-1,239,397,-1,-1,-1,450,-1,616,1001,1188,1550,-1,-1,1005,-1,-1
3199214,3,1992,14,Chhattisgarh,Raipur,490,295,408,-1,-1,-1,-1,-1,698,-1,1400,1475,-1,-1,908,-1,-1
3199314,3,1993,14,Chhattisgarh,Raipur,526,317,459,-1,-1,-1,-1,-1,954,1025,1000,1550,-1,-1,1011,-1,-1
3199414,3,1994,14,Chhattisgarh,Raipur,628,378,465,-1,-1,-1,-1,-1,871,1297,1564,2167,-1,-1,1106,-1,-1
3199514,3,1995,14,Chhattisgarh,Raipur,800,467,467,407,387,303,500,342,946,1498,1499,2010,1071,-1,1300,828,1894
3199614,3,1996,14,Chhattisgarh,Raipur,850,-1,612,498,-1,463,-1,-1,1178,1390,1529,1775,-1,-1,1289,-1,-1
3199714,3,1997,14,Chhattisgarh,Raipur,973,418,659,424,336,407,559,430,1247,1688,1225,1500,1207,1034,1357,1160,2123
3199814,3,1998,14,Chhattisgarh,Raipur,-1,463,550,-1,-1,-1,-1,-1,1043,1500,2200,-1,-1,-1,1841,-1,-1
3199914,3,1999,14,Chhattisgarh,Raipur,-1,513,753,-1,-1,-1,-1,-1,1382,1671,1694,1687,-1,-1,2118,-1,-1
3200014,3,2000,14,Chhattisgarh,Raipur,-1,505,720,-1,-1,-1,-1,-1,1559,1382,1641,1704,-1,-1,1438,-1,-1
3200114,3,2001,14,Chhattisgarh,Raipur,-1,521,781,-1,-1,500,-1,-1,1526,1500,1662,2410,2500,-1,1794,1096,-1
3200214,3,2002,14,Chhattisgarh,Raipur,-1,437,823,-1,-1,-1,-1,-1,1511,1552,1850,2075,-1,-1,1825,1411,-1
3200314,3,2003,14,Chhattisgarh,Raipur,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3200414,3,2004,14,Chhattisgarh,Raipur,980,565,798,-1,-1,-1,-1,-1,1415,-1,-1,-1,-1,-1,1584,-1,-1
3200514,3,2005,14,Chhattisgarh,Raipur,914,612,-1,-1,-1,1200,-1,-1,-1,-1,2353,3383,-1,-1,-1,1809,-1
3200614,3,2006,14,Chhattisgarh,Raipur,1093,665,1246,-1,-1,-1,-1,-1,2304,2364,2902,3280,2698,-1,-1,-1,-1
3200714,3,2007,14,Chhattisgarh,Raipur,1091,749,1394,-1,-1,-1,-1,-1,1880,2716,2639,4373,2490,-1,-1,-1,-1
3200814,3,2008,14,Chhattisgarh,Raipur,1594,985,-1,-1,1113,-1,-1,-1,-1,-1,2961,4944,-1,-1,-1,2300,-1
3200914,3,2009,14,Chhattisgarh,Raipur,1740,998,1435,-1,-1,-1,-1,-1,2241,3647,4409,5437,-1,-1,2685,3025,-1
3201014,3,2010,14,Chhattisgarh,Raipur,1638,1061,1340,-1,-1,-1,500,-1,2392,3709,3754,6207,-1,-1,2554,-1,-1
3201114,3,2011,14,Chhattisgarh,Raipur,1696,1081,1474,-1,-1,-1,-1,-1,3363,-1,5637,8208,-1,-1,4050,-1,-1
3201214,3,2012,14,Chhattisgarh,Raipur,1734,1231,-1,-1,-1,-1,-1,-1,-1,-1,3833,6926,-1,-1,4319,3860,-1
3201314,3,2013,14,Chhattisgarh,Raipur,2452,1491,1920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3201514,3,2015,14,Chhattisgarh,Raipur,-1,1407,1813,-1,-1,-1,-1,-1,9775,-1,-1,-1,-1,-1,-1,-1,-1
3201614,3,2016,14,Chhattisgarh,Raipur,-1,1487,1790,-1,-1,-1,-1,-1,4433,-1,-1,-1,-1,-1,-1,-1,-1
4199014,4,1990,14,Chhattisgarh,Bilaspur,400,209,315,-1,-1,-1,-1,-1,695,799,-1,1329,900,-1,942,657,-1
4199114,4,1991,14,Chhattisgarh,Bilaspur,445,250,350,-1,-1,-1,-1,-1,713,887,-1,1500,950,-1,918,767,-1
4199214,4,1992,14,Chhattisgarh,Bilaspur,-1,-1,-1,-1,-1,275,-1,-1,-1,1100,-1,1800,-1,-1,-1,660,-1
4199314,4,1993,14,Chhattisgarh,Bilaspur,-1,-1,-1,-1,-1,-1,-1,-1,-1,913,-1,-1,-1,-1,-1,1000,-1
4199414,4,1994,14,Chhattisgarh,Bilaspur,563,339,484,-1,-1,519,-1,-1,1021,1519,-1,1450,1346,-1,997,1003,-1
4199514,4,1995,14,Chhattisgarh,Bilaspur,722,392,562,407,387,450,1600,342,980,1409,1311,1843,1367,-1,1330,996,1894
4199614,4,1996,14,Chhattisgarh,Bilaspur,936,-1,700,498,-1,502,-1,-1,1210,1644,-1,1848,1554,-1,1321,1082,-1
4199714,4,1997,14,Chhattisgarh,Bilaspur,932,418,694,424,336,566,-1,430,1395,1779,1196,1403,1368,1034,1247,1366,-1
4199814,4,1998,14,Chhattisgarh,Bilaspur,-1,474,582,-1,-1,519,-1,-1,1145,1657,-1,2006,1512,-1,1615,1285,-1
4199914,4,1999,14,Chhattisgarh,Bilaspur,-1,510,775,-1,-1,487,-1,-1,1230,1453,-1,2242,1330,-1,-1,1172,-1
4200014,4,2000,14,Chhattisgarh,Bilaspur,-1,516,783,-1,-1,602,-1,-1,1563,1475,-1,2202,1645,-1,1800,1145,-1
4200114,4,2001,14,Chhattisgarh,Bilaspur,-1,489,750,-1,-1,606,-1,-1,1528,1388,-1,2619,1336,-1,1551,1356,-1
4200214,4,2002,14,Chhattisgarh,Bilaspur,-1,511,693,-1,-1,692,-1,-1,1596,1863,-1,2150,1440,-1,1799,1223,-1
4200314,4,2003,14,Chhattisgarh,Bilaspur,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4200414,4,2004,14,Chhattisgarh,Bilaspur,859,545,704,-1,536,603,-1,-1,1528,1690,-1,-1,1571,-1,1780,1783,-1
4200514,4,2005,14,Chhattisgarh,Bilaspur,840,629,891,-1,-1,697,-1,-1,1736,1762,-1,2576,1675,-1,1678,1700,-1
4200614,4,2006,14,Chhattisgarh,Bilaspur,865,653,1068,-1,-1,605,-1,-1,2291,2047,-1,2967,1701,-1,1929,-1,-1
4200714,4,2007,14,Chhattisgarh,Bilaspur,1009,662,1162,-1,-1,693,-1,-1,2269,2327,2714,3861,2154,-1,2629,-1,-1
