Key,Dist Code,Year,State Code,State Name,Dist Name,DIESEL PUMPSETS NUMBER (1000 Number),DIESEL PUMPSETS DENSITY (Per 1000 ha),ELECTRIC PUMPSETS NUMBER (1000 Number),ELECTRIC PUMPSETS DENSITY (Per 1000 ha),POWER TILLER NUMBER (1000 Number),POWER TILLER DENSITY (Per 1000 ha),TRACTORS NUMBER (1000 Number),TRACTORS DENSITY (Per 1000 ha)
3219976,32,1997,6,Madhya Pradesh,Dewas,0.63,16.97,37.16,1002.54,-1,-1,3.96,106.83
3220036,32,2003,6,Madhya Pradesh,Dewas,6.13,159.44,61.25,1593.28,0.66,17.22,1.13,29.5
3220076,32,2007,6,Madhya Pradesh,Dewas,2.17,55.75,67.46,1736.96,-1,-1,10.02,257.9
3319926,33,1992,6,Madhya Pradesh,Dhar,6.21,123.74,42.28,842.08,0.88,17.51,2.22,44.29
3319976,33,1997,6,Madhya Pradesh,Dhar,3.49,69.18,59.59,1182.58,-1,-1,4.92,97.56
3320036,33,2003,6,Madhya Pradesh,Dhar,6.04,119.29,83.24,1643.83,0.43,8.41,6.41,126.64
3320076,33,2007,6,Madhya Pradesh,Dhar,1.79,35.63,70.49,1403.91,-1,-1,7.64,152.09
3419926,34,1992,6,Madhya Pradesh,Jhabua,5.83,161.49,7.64,211.78,0.07,1.94,0.25,6.96
3419976,34,1997,6,Madhya Pradesh,Jhabua,10.77,298.85,16.1,446.68,-1,-1,0.63,17.37
3420036,34,2003,6,Madhya Pradesh,Jhabua,11.17,310.94,29.8,829.61,0.06,1.59,1.21,33.8
3420076,34,2007,6,Madhya Pradesh,Jhabua,10.63,295.39,23.45,651.77,-1,-1,1.75,48.54
3519926,35,1992,6,Madhya Pradesh,Khargone,7.02,108.99,23.7,368.07,0.5,7.81,0.93,14.49
3519976,35,1997,6,Madhya Pradesh,Khargone,5.79,89.81,68.23,1058.12,-1,-1,2.61,40.54
3520036,35,2003,6,Madhya Pradesh,Khargone,2.67,65.13,45.79,1118.68,0.1,2.47,1.2,29.34
3520076,35,2007,6,Madhya Pradesh,Khargone,2.23,54.97,42.42,1047.5,-1,-1,2.24,55.42
3619926,36,1992,6,Madhya Pradesh,Khandwa,6.89,155.09,51.34,1155.15,0.18,4.1,1.08,24.35
