Key,State code,State name,District code,District name, Year, Purpose,Co-operative Number,Co-operative Capacity Mton,Public Number,Public Capacity Mton,Private Number,Private Capacity Mton,Total Number,Total Capacity Mton,
6920095,5,Karnataka,69,Hassan,2009,Multipurpose,.,.,1,456,4,15640,5,16096,
6920095,5,Karnataka,69,Hassan,2009,"Potato, ",.,.,.,.,1,2500,1,2500,
7020095,5,Karnataka,70,Shimoga,2009,Milk Products,1,13,.,.,.,.,1,13,
7320095,5,Karnataka,73,Bellary,2009,"Chillies,Tamar",.,.,.,.,5,24918,5,24918,
7320095,5,Karnataka,73,Bellary,2009,Fish,.,.,1,35,.,.,1,35,
7320095,5,Karnataka,73,Bellary,2009,Multipurpose,.,.,.,.,10,45649,10,45649,
7420095,5,Karnataka,74,Hubli,2009,Ice-Cream,.,.,.,.,1,18,1,18,
7420095,5,Karnataka,74,Hubli,2009,Milk Products,1,708,.,.,.,.,1,708,
7420095,5,Karnataka,74,Hubli,2009,Multipurpose,.,.,.,.,5,12367,5,12367,
7520095,5,Karnataka,75,Belgaum,2009,Milk Products,1,43,.,.,.,.,1,43,
7520095,5,Karnataka,75,Belgaum,2009,Multipurpose,1,907,.,.,4,5208,5,6115,
7620095,5,Karnataka,76,Bijapur,2009,Fruits And Veg,.,.,.,.,1,1927,1,1927,
7620095,5,Karnataka,76,Bijapur,2009,Milk Products,.,.,.,.,1,349,1,349,
7620095,5,Karnataka,76,Bijapur,2009,Multipurpose,1,2061,.,.,5,7666,6,9727,
7820095,5,Karnataka,78,Raichur,2009,Multipurpose,.,.,.,.,1,5000,1,5000,
7920095,5,Karnataka,79,Gulbarga,2009,Milk Products,1,36,.,.,.,.,1,36,
7920095,5,Karnataka,79,Gulbarga,2009,Multipurpose,.,.,.,.,1,4680,1,4680,
7920095,5,Karnataka,79,Gulgarga,2009,Multipurpose,.,.,.,.,1,6850,1,6850,
8020095,5,Karnataka,80,D.K,2009,Fish,1,117,6,1343,14,1963,21,3423,
8020095,5,Karnataka,80,D.K,2009,Ice-Cream,.,.,.,.,2,28,2,28,
8020095,5,Karnataka,80,D.K,2009,Milk Products,3,239,.,.,.,.,3,239,
8020095,5,Karnataka,80,D.K,2009,Multipurpose,.,.,.,.,1,172,1,172,
8020095,5,Karnataka,80,Dk,2009,Multipurpose,.,.,.,.,1,2150,1,2150,
8120095,5,Karnataka,81,N.K,2009,Fish,.,.,2,639,4,811,6,1450,
8220095,5,Karnataka,82,Kodagu,2009,Fish,.,.,1,15,.,.,1,15,
8220095,5,Karnataka,82,Kodagu,2009,Milk Products,1,52,.,.,.,.,1,52,
101420095,5,Karnataka,1014,Haveri,2009,Multipurpose,.,.,.,.,8,50790,8,50790,
720096,6,Madhya Pradesh,7,Jabalpur,2009,Dairy Products ,1,190,.,.,1,31,2,221,
720096,6,Madhya Pradesh,7,Jabalpur,2009,Fruit & Vegetables,.,.,.,.,1,849,1,849,
720096,6,Madhya Pradesh,7,Jabalpur,2009,Multipurpose,.,.,.,.,3,4297,3,4297,
720096,6,Madhya Pradesh,7,Jabalpur,2009,Multipurpose ,.,.,.,.,1,4328,1,4328,
720096,6,Madhya Pradesh,7,Jabalpur,2009,Potatoes,.,.,.,.,3,3329,3,3329,
920096,6,Madhya Pradesh,9,Chhindwara,2009,Potatoes ,2,5913,1,1731,3,1876,6,9520,
1120096,6,Madhya Pradesh,11,Seoni,2009,Potatoes,.,.,.,.,1,1781,1,1781,
