Key,  State Code,  State name,  District code,  District name,  Year, Potato Area (000Ha), Potato Production (000Tonnes), Sweet Potato Area (000Ha), Sweet Potato Production (000Tonnes), Onion Area (000Ha), Onion Production (000Tonnes), Green onion Area (000Ha), Green onion Production (000Tonnes), Tomato Area (000Ha), Tomato Production (000Tonnes), Ladys finger Area (000Ha), Ladys finger Production (000Tonnes), Brinjal Area (000Ha), Brinjal Production (000Tonnes), Cauliflower Area (000Ha), Cauliflower Production (000Tonnes), Cabbage Area (000Ha), Cabbage Production (000Tonnes), Knol Khol Area (000Ha), Knol Khol Production (000Tonnes), Pumpkin Area (000Ha), Pumpkin Production (000Tonnes), Mushroom Area (000Ha), Mushroom Production (000Tonnes), Drum Stick Area (000Ha), Drum Stick Production (000Tonnes), Ridge Gourd Area (000Ha), Ridge Gourd Production (000Tonnes), Ghosali Area (000Ha), Ghosali Production (000Tonnes), Sponge Gourd Area (000Ha), Sponge Gourd Production (000Tonnes), Bottle Gourd Area (000Ha), Bottle Gourd Production (000Tonnes), Bitter Gourd Area (000Ha), Bitter Gourd Production (000Tonnes), Snake gourd Area (000Ha), Snake gourd Production (000Tonnes), Tinda Area (000Ha), Tinda Production (000Tonnes), Kundru/Perwal Area (000Ha), Kundru/Perwal Production (000Tonnes), Cucurbits Area (000Ha), Cucurbits Production (000Tonnes), Pointed gourd Area (000Ha), Pointed gourd Production (000Tonnes), Ashgourd Area (000Ha), Ashgourd Production (000Tonnes), Little Gourd Area (000Ha), Little Gourd Production (000Tonnes),Gourds &  Coccinia Area (000Ha),Gourds &  Coccinia Production (000Tonnes),Other Gourd Varieties Area (000Ha),Other Gourd Varieties Production (000Tonnes), Gourds Area (000Ha), Gourds Production (000Tonnes), Cowpea Area (000Ha), Cowpea Production (000Tonnes), Green Peas Area (000Ha), Green Peas Production (000Tonnes), Peas Area (000Ha), Peas Production (000Tonnes), Cluster beans Area (000Ha), Cluster beans Production (000Tonnes), Beans Area (000Ha), Beans Production (000Tonnes), French Bean Area (000Ha), French Bean Production (000Tonnes),Beans (All Inc Lab-lab(Sem) Area (000Ha),Beans (All Inc Lab-lab(Sem) Production (000Tonnes), Lab Lab Area (000Ha), Lab Lab Production (000Tonnes), Avarai Area (000Ha), Avarai Production (000Tonnes), Karamani Area (000Ha), Karamani Production (000Tonnes), Mogri Area (000Ha), Mogri Production (000Tonnes), Kakri Area (000Ha), Kakri Production (000Tonnes), Kheera Area (000Ha), Kheera Production (000Tonnes), Gherkins Area (000Ha), Gherkins Production (000Tonnes),Long melon (Kakri) Area (000Ha),Long melon (Kakri) Production (000Tonnes), Kachari Area (000Ha), Kachari Production (000Tonnes), Cucumber Area (000Ha), Cucumber Production (000Tonnes), Leafy Veg. Area (000Ha), Leafy Veg. Production (000Tonnes), Spinach (Palak) Area (000Ha), Spinach (Palak) Production (000Tonnes), Math/Rajgira Area (000Ha), Math/Rajgira Production (000Tonnes), Methi Area (000Ha), Methi Production (000Tonnes), Amaranthus Area (000Ha), Amaranthus Production (000Tonnes), Jimikand Area (000Ha), Jimikand Production (000Tonnes), Yam Area (000Ha), Yam Production (000Tonnes), Elephant Yam Area (000Ha), Elephant Yam Production (000Tonnes), Ratalu Area (000Ha), Ratalu Production (000Tonnes), Tapioca Area (000Ha), Tapioca Production (000Tonnes), Amorphospholus Area (000Ha), Amorphospholus Production (000Tonnes), Mooli Area (000Ha), Mooli Production (000Tonnes), Colocasia Area (000Ha), Colocasia Production (000Tonnes), Arbi Area (000Ha), Arbi Production (000Tonnes), Turnip Area (000Ha), Turnip Production (000Tonnes), Radish Area (000Ha), Radish Production (000Tonnes), Carrot Area (000Ha), Carrot Production (000Tonnes),"Radish, Turnip & Carrot Area (000Ha)","Radish, Turnip & Carrot Production (000Tonnes)","  Root 
crops Area (000Ha)","  Root 
crops Production (000Tonnes)",Other Root crops Area (000Ha),Other Root crops Production (000Tonnes), Beetroot Area (000Ha), Beetroot Production (000Tonnes), Wall (pawata) Area (000Ha), Wall (pawata) Production (000Tonnes), Wal Area (000Ha), Wal Production (000Tonnes), Vine Crops Area (000Ha), Vine Crops Production (000Tonnes), Oal Area (000Ha), Oal Production (000Tonnes), Green Chillies Area (000Ha), Green Chillies Production (000Tonnes),Capsicum &  Chillies Area (000Ha),Capsicum &  Chillies Production (000Tonnes), Capsicum Area (000Ha), Capsicum Production (000Tonnes), Shimla Mirchi Area (000Ha), Shimla Mirchi Production (000Tonnes), Water Melon Area (000Ha), Water Melon Production (000Tonnes), Musk Melon Area (000Ha), Musk Melon Production (000Tonnes), Turmeric Area (000Ha), Turmeric Production (000Tonnes), Garlic Area (000Ha), Garlic Production (000Tonnes), Curry leaves Area (000Ha), Curry leaves Production (000Tonnes), Mint Area (000Ha), Mint Production (000Tonnes),Green Coriander Area (000Ha),Green Coriander Production (000Tonnes),Other Vegetables Area (000Ha),Other Vegetables Production (000Tonnes),Total  Vegetables Area (000Ha),Total  Vegetables Production (000Tonnes),
17620159,9,Punjab,176,Patiala,2015,4.36,110.97,.,.,2.01,48.31,.,.,1.25,32.46,0.38,3.91,0.59,13.00,1.11,20.17,0.87,15.93,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.00,21.47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.95,20.93,.,.,.,.,.,.,.,.,0.80,12.75,.,.,0.83,1.57,.,.,.,.,.,.,0.04,0.69,0.48,8.03,.,.,0.42,5.01,.,.,.,.,.,.,0.30,0.82,16.43,316.03,
17620169,9,Punjab,176,Patiala,2016,4.58,116.44,.,.,2.07,49.56,.,.,1.30,33.53,0.40,4.03,0.62,13.46,1.13,20.38,0.89,16.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.05,21.96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.98,21.62,.,.,.,.,.,.,.,.,0.82,13.12,.,.,0.84,1.59,.,.,.,.,.,.,0.05,0.87,0.50,8.21,.,.,0.44,5.22,.,.,.,.,.,.,0.33,0.88,16.96,327.03,
54520009,9,Punjab,545,Mansa,2000,0.19,3.21,.,.,0.12,2.45,.,.,0.08,1.79,0.04,0.25,0.02,0.27,0.03,0.46,0.01,0.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.17,2.79,.,.,.,.,.,.,.,.,0.13,13.73,.,.,0.08,0.12,.,.,.,.,.,.,.,.,0.00,0.06,.,.,0.03,0.41,.,.,.,.,.,.,0.06,0.08,0.97,26.04,
54520019,9,Punjab,545,Mansa,2001,0.19,3.80,.,.,0.13,2.79,.,.,0.08,1.91,0.04,0.26,0.02,0.28,0.03,0.59,0.01,0.29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.17,2.81,.,.,.,.,.,.,.,.,0.14,1.41,.,.,0.08,0.13,.,.,.,.,.,.,.,.,0.00,0.06,.,.,0.03,0.42,.,.,.,.,.,.,0.06,0.09,1.02,15.04,
54520029,9,Punjab,545,Mansa,2002,0.19,3.84,.,.,0.04,0.86,.,.,0.02,0.47,0.01,0.05,0.01,0.20,0.03,0.47,0.02,0.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.30,4.89,.,.,.,.,.,.,.,.,0.17,1.77,.,.,0.07,0.11,.,.,.,.,.,.,0.00,0.04,0.01,0.10,.,.,0.01,0.15,.,.,.,.,.,.,0.14,0.21,1.04,13.76,
54520039,9,Punjab,545,Mansa,2003,0.19,3.94,.,.,0.04,0.86,.,.,0.02,0.47,0.01,0.05,0.01,0.20,0.03,0.49,0.02,0.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.30,4.99,.,.,.,.,.,.,.,.,0.17,1.79,.,.,0.07,0.11,.,.,.,.,.,.,0.00,0.04,0.01,0.10,.,.,0.01,0.16,.,.,.,.,.,.,0.14,0.21,1.05,13.99,
54520049,9,Punjab,545,Mansa,2004,0.19,4.25,.,.,0.04,0.90,.,.,0.02,0.50,0.01,0.05,0.01,0.22,0.03,0.50,0.02,0.43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.32,5.24,.,.,.,.,.,.,.,.,0.18,1.88,.,.,0.07,0.12,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.17,.,.,.,.,.,.,0.15,0.22,1.09,14.67,
54520059,9,Punjab,545,Mansa,2005,0.20,3.68,.,.,0.04,0.92,.,.,0.02,0.52,0.01,0.04,0.02,0.24,0.03,0.52,0.02,0.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.33,5.39,.,.,.,.,.,.,.,.,0.19,1.94,.,.,0.07,0.12,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.18,.,.,.,.,.,.,0.15,0.22,1.12,14.41,
54520069,9,Punjab,545,Mansa,2006,0.16,2.89,.,.,0.04,0.94,.,.,0.02,0.54,0.00,0.03,0.02,0.25,0.03,0.65,0.02,0.49,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.39,4.05,.,.,.,.,.,.,.,.,0.20,2.28,.,.,0.08,0.12,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.02,0.19,.,.,.,.,.,.,0.10,0.26,1.11,12.90,
54520079,9,Punjab,545,Mansa,2007,0.16,2.37,.,.,0.05,0.99,.,.,0.02,0.57,0.01,0.04,0.02,0.27,0.03,0.67,0.50,10.29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.35,3.68,.,.,.,.,.,.,.,.,0.21,2.37,.,.,0.08,0.13,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.21,.,.,.,.,.,.,0.11,0.27,1.59,22.06,
54520089,9,Punjab,545,Mansa          ,2008,0.16,3.21,.,.,0.05,1.03,.,.,0.02,0.47,0.05,0.36,0.03,0.52,0.06,1.14,0.05,0.97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,0.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.17,1.79,.,.,.,.,.,.,.,.,0.19,2.12,.,.,0.14,0.23,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.46,.,.,.,.,.,.,0.07,0.19,1.11,13.03,
54520109,9,Punjab,545,Mansa,2010,0.17,3.93,.,.,0.07,1.47,.,.,0.03,0.77,0.04,0.42,0.03,0.70,0.05,0.92,0.05,0.80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.14,1.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.18,3.40,.,.,.,.,.,.,.,.,0.21,2.48,.,.,0.21,0.35,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.04,0.36,.,.,.,.,.,.,0.04,0.09,1.24,17.06,
54520119,9,Punjab,545,Mansa,2011,0.16,3.58,.,.,0.07,1.56,.,.,0.02,0.51,0.04,0.43,0.03,0.72,0.08,1.36,0.06,0.98,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.11,1.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.16,2.95,.,.,.,.,.,.,.,.,0.19,2.22,.,.,0.21,0.35,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.02,0.24,.,.,.,.,.,.,0.04,0.11,1.19,16.17,
54520129,9,Punjab,545,Mansa,2012,0.16,3.72,.,.,0.06,1.34,.,.,0.03,0.75,0.06,0.57,0.04,0.81,0.08,1.44,0.05,0.89,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.12,1.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.19,3.56,.,.,.,.,.,.,.,.,0.20,2.42,.,.,0.08,0.13,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.32,.,.,.,.,.,.,0.06,0.14,1.16,17.26,
54520139,9,Punjab,545,Mansa,2013,0.16,3.63,.,.,0.05,1.02,.,.,0.03,0.68,0.05,0.55,0.04,0.80,0.08,1.50,0.05,0.87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.11,1.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.15,2.79,.,.,.,.,.,.,.,.,0.20,2.37,.,.,0.07,0.12,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.31,.,.,.,.,.,.,0.05,0.12,1.07,15.92,
54520149,9,Punjab,545,Mansa,2014,0.15,3.45,.,.,0.06,1.26,.,.,0.03,0.65,0.06,0.66,0.04,0.85,0.09,1.54,0.05,0.91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.12,1.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.16,3.01,.,.,.,.,.,.,.,.,0.21,2.45,.,.,0.06,0.10,.,.,.,.,.,.,.,.,.,.,.,.,0.05,0.51,.,.,.,.,.,.,0.05,0.12,1.12,16.77,
54520159,9,Punjab,545,Mansa,2015,0.16,3.78,.,.,0.06,1.25,.,.,0.03,0.68,0.07,0.69,0.04,0.90,0.09,1.58,0.05,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.13,1.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.17,3.28,.,.,.,.,.,.,.,.,0.21,2.61,.,.,0.06,0.11,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.05,0.53,.,.,.,.,.,.,0.05,0.14,1.16,17.77,
54520169,9,Punjab,545,Mansa,2016,0.17,4.05,.,.,0.06,1.33,.,.,0.04,0.85,0.07,0.77,0.05,1.10,0.11,1.90,0.07,1.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.14,1.36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.18,3.43,.,.,.,.,.,.,.,.,0.23,2.74,.,.,0.07,0.12,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.06,0.59,.,.,.,.,.,.,0.07,0.19,1.28,19.64,
54620009,9,Punjab,546,Fatehgarh  S,2000,1.60,33.25,.,.,0.14,2.46,.,.,0.19,4.05,0.06,0.49,0.29,3.47,0.29,5.66,0.22,4.35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.16,0.92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.44,11.02,.,.,.,.,.,.,.,.,0.27,1.87,.,.,0.13,0.19,.,.,.,.,.,.,0.01,0.13,.,.,.,.,0.07,1.24,.,.,.,.,.,.,0.08,0.11,3.94,69.21,
54620019,9,Punjab,546,Fatehgarh,2001,1.61,27.77,.,.,0.16,2.80,.,.,0.20,4.30,0.07,0.51,0.30,3.63,0.33,6.40,0.29,5.55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.17,0.99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.45,11.09,.,.,.,.,.,.,.,.,0.17,1.91,.,.,0.14,0.22,.,.,.,.,.,.,.,.,.,.,.,.,0.07,1.29,.,.,.,.,.,.,0.09,0.12,4.03,66.57,
54620029,9,Punjab,546,Fatehgarh  S,2002,1.64,26.63,.,.,0.12,2.09,.,.,0.41,8.82,0.04,0.29,0.07,0.78,0.44,8.61,0.31,6.35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.18,0.93,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.19,4.74,.,.,.,.,.,.,.,.,0.25,2.83,.,.,0.14,0.22,.,.,.,.,.,.,.,.,0.01,0.14,.,.,0.06,1.10,.,.,.,.,.,.,0.04,0.06,3.88,63.57,
54620039,9,Punjab,546,Fatehgarh  S,2003,1.65,29.68,.,.,0.12,2.09,.,.,0.41,8.93,0.04,0.30,0.07,0.79,0.46,9.02,0.52,10.59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.18,0.93,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,4.84,.,.,.,.,.,.,.,.,0.25,2.85,.,.,0.14,0.22,.,.,.,.,.,.,.,.,0.01,0.14,.,.,0.06,1.12,.,.,.,.,.,.,0.04,0.06,4.13,71.54,
54620049,9,Punjab,546,Fatehgarh,2004,1.65,37.87,.,.,0.12,2.19,.,.,0.42,9.10,0.04,0.32,0.07,0.83,0.49,9.49,0.54,11.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.19,0.98,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.21,5.09,.,.,.,.,.,.,.,.,0.26,2.97,.,.,0.14,0.23,.,.,.,.,.,.,.,.,.,.,.,.,0.06,0.99,.,.,.,.,.,.,0.04,0.06,4.23,81.24,
54620059,9,Punjab,546,Fatehgarh,2005,1.70,28.81,.,.,0.13,2.25,.,.,0.43,9.34,0.04,0.32,0.07,0.85,0.50,9.73,0.56,11.56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.19,1.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.24,5.98,.,.,.,.,.,.,.,.,0.27,3.08,.,.,0.15,0.23,.,.,.,.,.,.,.,.,.,.,.,.,0.06,0.92,.,.,.,.,.,.,0.04,0.06,4.39,74.15,
54620069,9,Punjab,546,Fatehgarh,2006,1.75,39.45,.,.,0.23,4.47,.,.,0.45,1.96,0.04,0.34,0.07,0.89,0.53,10.43,0.48,9.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,1.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.29,3.25,.,.,.,.,.,.,.,.,0.41,4.65,.,.,0.15,0.24,.,.,.,.,.,.,0.00,0.00,0.01,0.22,.,.,0.06,0.95,.,.,.,.,.,.,0.04,0.09,4.72,77.86,
54620079,9,Punjab,546,Fatehgarh Sahib,2007,1.80,32.65,.,.,0.23,4.55,.,.,0.46,9.95,0.05,0.36,0.08,0.93,0.55,10.83,0.50,10.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.21,1.10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.30,3.38,.,.,.,.,.,.,.,.,0.42,4.81,.,.,0.16,0.25,.,.,.,.,.,.,.,.,.,.,.,.,0.06,1.02,.,.,.,.,.,.,0.04,0.09,4.86,80.15,
54620089,9,Punjab,546,Fatehgarh Sahib,2008,3.84,98.79,.,.,0.23,4.59,.,.,0.17,3.73,0.12,0.93,0.10,1.25,0.62,12.21,0.41,8.33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.12,0.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.29,3.30,.,.,.,.,.,.,.,.,0.28,3.19,.,.,0.13,0.22,.,.,.,.,.,.,.,.,.,.,.,.,0.21,3.39,.,.,.,.,.,.,0.10,0.22,6.62,140.77,
